TYPE,tycod,typ_eng,sub_tycod,sub_eng,SocDis,PrivateConflict,Violence,Guns,Frequency_2015,Frequency_2016,Frequency_2017,Frequency_2018,yr.intro,last.yr
AB===>>>,AB,ASSAULT AND BATTERY,===>>>,PICK A SUB-TYPE,0,0,1,0,27,29,29,14,2014,2019
ABAN===>>>,ABAN,ABANDONED CALL,===>>>,PICK A SUB-TYPE,0,0,0,0,40,26,17,10,2014,2018
ABANBU,ABAN,ABANDONED CALL,BU,FROM A BUSINESS,0,0,0,0,12768,13287,12599,6422,2014,2019
ABANCELL,ABAN,ABANDONED CALL,CELL,CELLULAR PHONE,0,0,0,0,72081,56074,39323,19947,2014,2019
ABANINCCAL,ABAN,ABANDONED CALL,INCCAL,INCOMPLETE CALL,0,0,0,0,686,1188,124,70,2014,2019
ABANPH,ABAN,ABANDONED CALL,PH,FROM A PAYPHONE,0,0,0,0,1734,1205,724,506,2014,2019
ABANRE,ABAN,ABANDONED CALL,RE,FROM A RESIDENCE,0,0,0,0,3143,2687,1944,840,2014,2019
ABANSILCAL,ABAN,ABANDONED CALL,SILCAL,SILENT CALL,0,0,0,0,194,397,253,262,2014,2019
ABDWIP,AB,ASSAULT AND BATTERY,DWIP,DEADLY WEAPON IN PROGRESS,0,0,0,1,122,190,162,169,2014,2019
ABDWRPT,AB,ASSAULT AND BATTERY,DWRPT,DEADLY WEAPON REPORT,0,0,0,0,88,94,74,78,2014,2019
ABIP,AB,ASSAULT AND BATTERY,IP,IN PROGRESS,0,0,1,0,3640,3871,3777,3610,2014,2019
ABRPT,AB,ASSAULT AND BATTERY,RPT,REPORT,0,0,1,0,2103,2121,2175,2160,2014,2019
ADMRPTDEFAULT,ADMRPT,ADMIN REPORT,DEFAULT,NA,0,0,0,0,694,678,648,386,2014,2019
ADVISEDDEFAULT,ADVISED,ADVISED INCIDENT,DEFAULT,NA,0,0,0,0,21,9,2,6,2014,2018
ALARM===>>>,ALARM,ALARM,===>>>,PICK A SUB-TYPE,0,0,0,0,41,24,31,31,2014,2018
ALARMALARMM,ALARM,ALARM,ALARMM,MEDICAL   (E) (F) (P),0,0,0,0,0,0,0,1,2018,2018
ALARMAUDIBLE,ALARM,ALARM,AUDIBLE,AUDIBLE - UNKOWN IN NATURE,0,0,0,0,303,287,342,378,2014,2019
ALARMB,ALARM,ALARM,B,BANK,0,0,0,0,610,590,510,519,2014,2019
ALARMC,ALARM,ALARM,C,COMMERCIAL,0,0,0,0,11472,10947,11517,10643,2014,2019
ALARMCITY,ALARM,ALARM,CITY,CITY BUILDING/SCHOOL,0,0,0,0,803,970,929,1150,2014,2019
ALARMH,ALARM,ALARM,H,HOLDUP,0,0,0,0,700,595,587,503,2014,2019
ALARMINVEST,ALARM,ALARM,INVEST,INVEST A PERSON'S WELL-BEING   (E) (P),0,0,0,0,1978,2191,2475,2924,2014,2019
ALARMMEDICAL,ALARM,ALARM,MEDICAL,MEDICAL   (E) (F) (P),0,0,0,0,1631,1795,1907,1908,2014,2019
ALARMPANIC,ALARM,ALARM,PANIC,PANIC/DURESS,0,0,0,0,1045,1190,1201,1072,2014,2019
ALARMR,ALARM,ALARM,R,RESIDENTIAL,0,0,0,0,5797,5527,5134,4761,2014,2019
