id,neighborhood,room_type,price,longitude,latitude
3781,East Boston,Entire home/apt,125,-71.02991,42.36413
5506,Roxbury,Entire home/apt,145,-71.09559,42.32981
6695,Roxbury,Entire home/apt,169,-71.09351,42.32994
8789,Downtown,Entire home/apt,99,-71.06265,42.35919
10730,Downtown,Entire home/apt,150,-71.06185,42.3584
10813,Back Bay,Entire home/apt,179,-71.08904,42.34961
10986,North End,Entire home/apt,125,-71.05075,42.36352
16384,Beacon Hill,Private room,50,-71.07132,42.3581
18711,Dorchester,Entire home/apt,154,-71.06096,42.32212
22195,Back Bay,Private room,115,-71.0793,42.34558
22354,South End,Private room,148,-71.07486,42.34496
24240,North End,Entire home/apt,275,-71.05023,42.36366
29765,Charlestown,Entire home/apt,221,-71.06642,42.37754
40601,Jamaica Plain,Private room,95,-71.11108,42.3151
45987,Charlestown,Entire home/apt,125,-71.06118,42.37404
60029,Roxbury,Private room,75,-71.08927,42.32584
60356,Downtown,Entire home/apt,175,-71.0618,42.35712
69369,Roxbury,Private room,79,-71.0884,42.32614
77681,Charlestown,Private room,140,-71.06177,42.37853
95453,Allston,Entire home/apt,175,-71.13156,42.35937
163941,Roxbury,Entire home/apt,225,-71.09503,42.32965
169430,Roxbury,Entire home/apt,200,-71.09047,42.32158
190170,Dorchester,Entire home/apt,55,-71.06907,42.31039
197727,Jamaica Plain,Private room,60,-71.11832,42.3132
197972,Jamaica Plain,Entire home/apt,90,-71.10834,42.31732
210097,Jamaica Plain,Entire home/apt,100,-71.10641,42.31864
220676,North End,Private room,95,-71.05438,42.36539
225224,South End,Private room,105,-71.07503,42.34643
257588,South Boston,Entire home/apt,200,-71.03984,42.33066
322593,South End,Entire home/apt,350,-71.07594,42.34232
400067,Dorchester,Private room,60,-71.0819,42.30088
447826,Jamaica Plain,Private room,71,-71.11012,42.31658
464216,Fenway,Private room,60,-71.10739,42.3484
475254,Bay Village,Entire home/apt,500,-71.0681,42.34846
496022,Jamaica Plain,Private room,200,-71.11836,42.3092
526970,South End,Private room,148,-71.07282,42.34523
530983,Dorchester,Entire home/apt,180,-71.0612,42.31368
533114,Dorchester,Entire home/apt,154,-71.0611,42.3122
533152,Dorchester,Entire home/apt,128,-71.06096,42.32212
561769,Dorchester,Entire home/apt,103,-71.06126,42.31371
568234,Jamaica Plain,Private room,95,-71.10539,42.3036
579605,Dorchester,Entire home/apt,128,-71.06095,42.32212
583255,Brighton,Entire home/apt,149,-71.14851,42.34171
601763,West Roxbury,Entire home/apt,128,-71.15407,42.29192
611081,Charlestown,Entire home/apt,325,-71.04981,42.37579
619142,Charlestown,Entire home/apt,175,-71.06343,42.37808
646087,South Boston,Private room,188,-71.04995,42.33477
708802,Charlestown,Entire home/apt,100,-71.0628,42.37755
743211,Jamaica Plain,Entire home/apt,550,-71.1126,42.30581
743759,Roslindale,Private room,25,-71.13183,42.29424
753446,Roslindale,Private room,50,-71.12491,42.28588
771309,Dorchester,Private room,59,-71.04966,42.30805
798957,South End,Entire home/apt,347,-71.07594,42.34232
801680,Roxbury,Entire home/apt,169,-71.09539,42.32852
801722,Roxbury,Entire home/apt,149,-71.09405,42.32819
820073,Downtown,Entire home/apt,275,-71.06104,42.3558
826706,Dorchester,Private room,79,-71.0806,42.29996
839265,Dorchester,Private room,61,-71.07621,42.29822
849408,Roslindale,Entire home/apt,239,-71.13951,42.28882
863788,South End,Entire home/apt,385,-71.0708,42.34367
891661,North End,Entire home/apt,125,-71.05363,42.36853
894539,Roslindale,Private room,90,-71.13024,42.2909
962610,West Roxbury,Entire home/apt,119,-71.14106,42.29053
973695,Downtown,Entire home/apt,250,-71.06086,42.35929
