id,neighborhood,room_type,price,minimum_nights,availability_365,host_id
3781,East Boston,Entire home/apt,125,28,68,4804
5506,Roxbury,Entire home/apt,145,3,322,8229
6695,Roxbury,Entire home/apt,169,3,274,8229
8789,Downtown,Entire home/apt,99,91,247,26988
10730,Downtown,Entire home/apt,150,91,29,26988
10813,Back Bay,Entire home/apt,179,91,0,38997
10986,North End,Entire home/apt,125,91,364,38997
16384,Beacon Hill,Private room,50,91,365,23078
18711,Dorchester,Entire home/apt,154,29,304,71783
22195,Back Bay,Private room,115,1,285,85130
22354,South End,Private room,148,2,62,85770
24240,North End,Entire home/apt,275,2,247,97821
29765,Charlestown,Entire home/apt,221,2,252,128280
40601,Jamaica Plain,Private room,95,6,197,174986
45987,Charlestown,Entire home/apt,125,3,80,205107
60029,Roxbury,Private room,75,2,17,255183
60356,Downtown,Entire home/apt,175,32,145,26988
69369,Roxbury,Private room,79,2,14,255183
77681,Charlestown,Private room,140,2,361,416912
95453,Allston,Entire home/apt,175,5,346,508268
163941,Roxbury,Entire home/apt,225,3,157,8229
169430,Roxbury,Entire home/apt,200,2,7,807320
190170,Dorchester,Entire home/apt,55,7,228,841314
197727,Jamaica Plain,Private room,60,30,118,964356
197972,Jamaica Plain,Entire home/apt,90,2,173,965697
210097,Jamaica Plain,Entire home/apt,100,3,227,1035747
220676,North End,Private room,95,3,61,1144302
225224,South End,Private room,105,2,88,85770
257588,South Boston,Entire home/apt,200,2,212,1355344
322593,South End,Entire home/apt,350,28,226,1651480
400067,Dorchester,Private room,60,91,363,1997048
447826,Jamaica Plain,Private room,71,3,214,2053557
464216,Fenway,Private room,60,1,365,2306777
475254,Bay Village,Entire home/apt,500,91,0,2355815
496022,Jamaica Plain,Private room,200,91,0,1956464
526970,South End,Private room,148,2,90,85770
530983,Dorchester,Entire home/apt,180,29,142,71783
533114,Dorchester,Entire home/apt,154,29,259,71783
533152,Dorchester,Entire home/apt,128,29,310,71783
561769,Dorchester,Entire home/apt,103,29,283,71783
568234,Jamaica Plain,Private room,95,1,299,2796082
579605,Dorchester,Entire home/apt,128,29,331,71783
583255,Brighton,Entire home/apt,149,91,0,306407
601763,West Roxbury,Entire home/apt,128,29,333,71783
611081,Charlestown,Entire home/apt,325,2,331,3029783
619142,Charlestown,Entire home/apt,175,91,204,501427
646087,South Boston,Private room,188,1,173,3236611
708802,Charlestown,Entire home/apt,100,2,247,3648427
743211,Jamaica Plain,Entire home/apt,550,3,0,2796082
743759,Roslindale,Private room,25,91,365,7969
753446,Roslindale,Private room,50,91,355,3962517
771309,Dorchester,Private room,59,91,196,239850
798957,South End,Entire home/apt,347,3,110,1651480
801680,Roxbury,Entire home/apt,169,3,132,8229
801722,Roxbury,Entire home/apt,149,3,205,8229
820073,Downtown,Entire home/apt,275,2,12,1911807
826706,Dorchester,Private room,79,91,364,1997048
839265,Dorchester,Private room,61,91,349,1997048
849408,Roslindale,Entire home/apt,239,4,235,4434391
863788,South End,Entire home/apt,385,2,18,775932
891661,North End,Entire home/apt,125,2,173,4737456
894539,Roslindale,Private room,90,2,275,4762495
962610,West Roxbury,Entire home/apt,119,3,170,4434391
973695,Downtown,Entire home/apt,250,91,365,1760577
989163,South End,Entire home/apt,170,3,120,5430185
990668,South End,Private room,156,3,203,1651480
1009275,South Boston,Private room,120,1,323,868067
1038465,South End,Private room,140,2,55,85770
1042420,East Boston,Entire home/apt,170,2,166,5715872
1055627,Beacon Hill,Entire home/apt,125,91,0,4299002
1058448,Jamaica Plain,Private room,80,1,323,3920014
