id,longitude,latitude
3781,-71.02991,42.36413
5506,-71.09559,42.32981
6695,-71.09351,42.32994
8789,-71.06265,42.35919
10730,-71.06185,42.3584
10813,-71.08904,42.34961
10986,-71.05075,42.36352
16384,-71.07132,42.3581
18711,-71.06096,42.32212
22195,-71.0793,42.34558
22354,-71.07486,42.34496
24240,-71.05023,42.36366
29765,-71.06642,42.37754
40601,-71.11108,42.3151
45987,-71.06118,42.37404
60029,-71.08927,42.32584
60356,-71.0618,42.35712
69369,-71.0884,42.32614
77681,-71.06177,42.37853
95453,-71.13156,42.35937
163941,-71.09503,42.32965
169430,-71.09047,42.32158
190170,-71.06907,42.31039
197727,-71.11832,42.3132
197972,-71.10834,42.31732
210097,-71.10641,42.31864
220676,-71.05438,42.36539
225224,-71.07503,42.34643
257588,-71.03984,42.33066
322593,-71.07594,42.34232
400067,-71.0819,42.30088
447826,-71.11012,42.31658
464216,-71.10739,42.3484
475254,-71.0681,42.34846
496022,-71.11836,42.3092
526970,-71.07282,42.34523
530983,-71.0612,42.31368
533114,-71.0611,42.3122
533152,-71.06096,42.32212
561769,-71.06126,42.31371
568234,-71.10539,42.3036
579605,-71.06095,42.32212
583255,-71.14851,42.34171
601763,-71.15407,42.29192
611081,-71.04981,42.37579
619142,-71.06343,42.37808
646087,-71.04995,42.33477
708802,-71.0628,42.37755
743211,-71.1126,42.30581
743759,-71.13183,42.29424
753446,-71.12491,42.28588
771309,-71.04966,42.30805
798957,-71.07594,42.34232
801680,-71.09539,42.32852
801722,-71.09405,42.32819
820073,-71.06104,42.3558
826706,-71.0806,42.29996
839265,-71.07621,42.29822
849408,-71.13951,42.28882
863788,-71.0708,42.34367
891661,-71.05363,42.36853
894539,-71.13024,42.2909
962610,-71.14106,42.29053
973695,-71.06086,42.35929
989163,-71.07316,42.34308
990668,-71.07595,42.34232
1009275,-71.04536,42.33269
1038465,-71.07481,42.34644
1042420,-71.02023,42.38362
1055627,-71.06399,42.36076
1058448,-71.10473,42.31218
1071235,-71.10819,42.31748
1077105,-71.075,42.34022
1090413,-71.0803,42.34502
1090545,-71.08224,42.34373
1092093,-71.10115,42.33285
1109224,-71.11216,42.32051
1161210,-71.16759,42.27176
1167221,-71.11726,42.30844
1167987,-71.13016,42.29317
1171578,-71.16795,42.35384
1187188,-71.10789,42.30693
1200502,-71.07685,42.33843
1220971,-71.0528,42.36598
1222327,-71.10792,42.32473
1240598,-71.0636,42.35257
1252489,-71.06593,42.36105
1275498,-71.07304,42.34294
1321422,-71.04674,42.30907
1327725,-71.1399,42.346
1332786,-71.04672,42.30901
1374434,-71.08894,42.32546
1374466,-71.08894,42.32546
1403408,-71.08894,42.32546
1425973,-71.08026,42.33937
1445064,-71.06236,42.38017
1454258,-71.0464,42.30844
1471308,-71.10253,42.33325
1472481,-71.04672,42.30901
1472520,-71.04646,42.30856
1510876,-71.04829,42.31019
1541166,-71.07892,42.38159
1544144,-71.06165,42.37203
1544702,-71.04672,42.30901
1545185,-71.15696,42.3484
1584362,-71.04742,42.30976
1596470,-71.06918,42.34988
1596664,-71.09413,42.3256
1644031,-71.04763,42.34017
1668313,-71.13337,42.28194
1677807,-71.17173,42.34923
1682936,-71.09458,42.32371
1692573,-71.11719,42.31338
1721016,-71.13236,42.28607
1724900,-71.13268,42.28291
1732804,-71.05853,42.29041
1754939,-71.10086,42.31227
1757417,-71.14423,42.2779
1810172,-71.13335,42.28209
1810397,-71.0711,42.34279
1815326,-71.16242,42.35509
1819994,-71.09265,42.34947
1821633,-71.04792,42.30958
1863443,-71.1013,42.34411
1867834,-71.06926,42.36422
1867881,-71.06827,42.36429
1868004,-71.06827,42.36429
1868124,-71.06261,42.35193
1881298,-71.11181,42.30026
1885386,-71.11726,42.30847
1885825,-71.1172,42.3088
1886037,-71.07141,42.36056
1887507,-71.05117,42.34066
1935042,-71.06618,42.35706
1944976,-71.04613,42.31161
1960407,-71.06749,42.3568
1966195,-71.06321,42.3509
2000797,-71.06115,42.31502
2014651,-71.10582,42.30711
2014882,-71.15717,42.34126
2021483,-71.04741,42.33535
2021489,-71.04933,42.33323
2022303,-71.05274,42.34179
2108738,-71.08894,42.35046
2126053,-71.07147,42.35672
2141306,-71.06011,42.35447
2183058,-71.05452,42.36429
2183117,-71.13347,42.35159
2187640,-71.06236,42.35136
2187766,-71.06261,42.35193
2215762,-71.07305,42.34303
2219399,-71.11431,42.30073
2256444,-71.1171,42.30942
2277821,-71.08418,42.34877
2278704,-71.09514,42.28192
2292495,-71.07572,42.34032
2378421,-71.11864,42.31144
2395326,-71.07169,42.34568
2495047,-71.07316,42.34309
2526773,-71.1563,42.3438
2583074,-71.13606,42.27965
2658094,-71.05271,42.36597
2672058,-71.13227,42.35322
2701124,-71.08601,42.34507
2723274,-71.07043,42.34868
2737853,-71.07211,42.34322
2747654,-71.065,42.35033
2754975,-71.06366,42.35757
2794782,-71.07116,42.28284
2798599,-71.06016,42.37407
2798787,-71.10541,42.32451
2811937,-71.06912,42.28439
2843445,-71.14102,42.28195
2846739,-71.07364,42.34623
2881388,-71.08418,42.34877
2886933,-71.11989,42.26118
2892825,-71.08543,42.31018
2931165,-71.09377,42.2795
2931271,-71.0941,42.281
2931870,-71.09527,42.27921
2943438,-71.09295,42.35042
2963419,-71.11687,42.31804
3068453,-71.06418,42.35188
3094942,-71.05745,42.31912
3164650,-71.13151,42.23597
3193484,-71.06921,42.28819
3229255,-71.13354,42.28703
3294152,-71.06214,42.31503
3302294,-71.0826,42.35258
3309941,-71.1013,42.34411
3343428,-71.09275,42.32953
3344322,-71.0617,42.31322
3377100,-71.07297,42.35669
3414993,-71.06816,42.35155
3441982,-71.09432,42.31943
3457722,-71.15949,42.35457
3463914,-71.08826,42.35049
3493840,-71.10719,42.305
3520353,-71.06304,42.3578
3521944,-71.15829,42.29714
3522237,-71.08273,42.30582
3539510,-71.06094,42.32213
3544343,-71.06153,42.35844
3575220,-71.13587,42.28028
3593290,-71.11869,42.3089
3602379,-71.09457,42.32909
3628320,-71.05949,42.29781
3656168,-71.08,42.31676
3677662,-71.13072,42.35573
3693850,-71.11176,42.29899
3705824,-71.08,42.31676
3749523,-71.06333,42.37191
3783090,-71.10453,42.34496
3820516,-71.06641,42.37754
3890373,-71.0657,42.35764
3903324,-71.1013,42.34411
3914363,-71.1013,42.34411
3930872,-71.11964,42.36509
3957602,-71.10613,42.31168
3965313,-71.00302,42.38679
3968797,-71.13134,42.29111
3969526,-71.07395,42.33763
3985462,-71.08962,42.3499
4000384,-71.0991,42.31633
4040151,-71.1013,42.34411
4075898,-71.06131,42.35448
4085362,-71.14032,42.28175
4089940,-71.05268,42.36596
4090224,-71.05488,42.33502
4105704,-71.11491,42.30236
4118162,-71.06134,42.35631
4119345,-71.1091,42.31162
4135172,-71.06301,42.35176
4148586,-71.07272,42.3533
4150640,-71.0524,42.36739
4177233,-71.05789,42.31825
4223387,-71.10003,42.31739
4233242,-71.10931,42.313
4257929,-71.09322,42.34962
4263736,-71.09308,42.32943
4275846,-71.06408,42.35123
4278067,-71.0769,42.34067
4291607,-71.15237,42.33678
4294557,-71.07563,42.33814
4315428,-71.00386,42.39067
4315439,-71.00268,42.38921
4348422,-71.11171,42.31158
4364925,-71.07704,42.34094
4364989,-71.07607,42.34128
4377247,-71.08154,42.35469
4410765,-71.14827,42.35365
4445906,-71.06243,42.35184
4460532,-71.09265,42.32821
4461111,-71.13671,42.27897
4461613,-71.06346,42.36017
4461846,-71.07633,42.34441
4461901,-71.07644,42.34447
4467841,-71.06928,42.36452
4489920,-71.06827,42.36429
4500409,-71.08264,42.34982
4510513,-71.05977,42.35592
4523234,-71.06323,42.35184
4526384,-71.12937,42.35768
4530670,-71.16148,42.27175
4555637,-71.09341,42.32961
4560053,-71.09069,42.32405
4566095,-71.07304,42.34301
4568116,-71.09199,42.32953
4573238,-71.05259,42.36424
4573388,-71.05259,42.36424
4577188,-71.09299,42.34715
4580825,-71.05145,42.36322
4583526,-71.11553,42.30455
4586681,-71.11295,42.31483
4593974,-71.08,42.31676
4593985,-71.08,42.31676
4602191,-71.06928,42.36452
4614037,-71.03406,42.37911
4623114,-71.07633,42.34441
4624582,-71.08,42.31676
4625517,-71.1065,42.33471
4630071,-71.15592,42.34425
4632511,-71.06521,42.36114
4652263,-71.1596,42.33925
4662379,-71.1554,42.34771
4670285,-71.16348,42.34919
4710583,-71.13535,42.35977
4737304,-71.1645,42.34998
4755586,-71.08145,42.2767
4757808,-71.07261,42.35588
4810824,-71.03704,42.3803
4909590,-71.13328,42.35049
4917583,-71.06782,42.36401
4922204,-71.12905,42.28214
4924009,-71.06368,42.35178
4978467,-71.06549,42.36057
4995033,-71.06618,42.35975
5019306,-71.02974,42.33484
5047340,-71.13342,42.35943
5049582,-71.10784,42.31258
5054601,-71.05802,42.33034
5088560,-71.08161,42.34002
5124772,-71.10033,42.31868
5166870,-71.10333,42.30503
5222368,-71.10728,42.32896
5358934,-71.08001,42.31681
5364137,-71.00581,42.38704
5434353,-71.13707,42.28626
5478135,-71.0001,42.38364
5495267,-71.08,42.31676
5511911,-71.05553,42.36509
5526487,-71.09655,42.33085
5526514,-71.09443,42.32827
5581575,-71.0791,42.34549
5601743,-71.10315,42.3119
5606682,-71.14918,42.34152
5702292,-71.10479,42.31315
5709298,-71.0672,42.35987
5718801,-71.07633,42.34441
5718921,-71.07628,42.34455
5719606,-71.05978,42.37456
5725804,-71.06556,42.35925
5726867,-71.0883,42.31206
5738018,-71.10549,42.32499
5768819,-71.07644,42.34447
5769127,-71.07644,42.34447
5775139,-71.13165,42.35157
5781926,-71.04651,42.33295
5782221,-71.05424,42.36726
5806428,-71.03102,42.38127
5813177,-71.0872,42.34306
5822827,-71.06977,42.34339
5825829,-71.10466,42.34661
5834413,-71.10204,42.3445
5844314,-71.05795,42.31776
5856633,-71.04516,42.33138
5867761,-71.06897,42.34311
5870922,-71.12633,42.3605
5882411,-71.11176,42.29899
5884429,-71.13554,42.28658
5903001,-71.07757,42.35001
5927267,-71.05802,42.33034
5932402,-71.07026,42.34475
5940866,-71.03354,42.37619
5967421,-71.12633,42.3605
5976821,-71.07021,42.34462
6006328,-71.09363,42.28189
6015995,-71.06816,42.36373
6066455,-71.07094,42.35964
6069883,-71.13576,42.28531
6072693,-71.09005,42.34634
6080461,-71.09406,42.33032
6119918,-71.13753,42.34506
6131224,-71.11387,42.26225
6179374,-71.13865,42.35489
6238463,-71.11405,42.3159
6248970,-71.10346,42.32172
6261296,-71.15638,42.29019
6277566,-71.13064,42.36193
6296656,-71.04523,42.33536
6300089,-71.15372,42.28641
6310903,-71.04507,42.33411
6317446,-71.04523,42.33536
6317722,-71.04523,42.33536
6326257,-71.07083,42.36013
6356533,-71.10089,42.34429
6401859,-71.11623,42.24652
6426364,-71.07533,42.34175
6444303,-71.07595,42.34232
6465075,-71.1119,42.29716
6489209,-71.05802,42.33034
6513924,-71.11973,42.28456
6576530,-71.08513,42.31134
6603827,-71.11648,42.28217
6609546,-71.04107,42.34719
6646604,-71.14634,42.34109
6677469,-71.07884,42.34507
6685682,-71.08559,42.34809
6690605,-71.06329,42.37814
6716872,-71.15143,42.33723
6741968,-71.06179,42.35731
6746543,-71.06221,42.35159
6758443,-71.07633,42.34441
6758462,-71.07633,42.34441
6758482,-71.07644,42.34447
6759004,-71.08264,42.34982
6762011,-71.07633,42.34441
6763409,-71.07644,42.34447
6764572,-71.10628,42.31858
6780077,-71.06137,42.31392
6790961,-71.09981,42.34457
6793945,-71.07416,42.33633
6800522,-71.08,42.31676
6810723,-71.07633,42.34441
6819620,-71.08,42.31676
6823017,-71.12952,42.35803
6844012,-71.10035,42.34375
6851459,-71.07633,42.34441
6851460,-71.07633,42.34441
6862594,-71.11325,42.31927
6879036,-71.08264,42.34982
6882615,-71.08264,42.34982
6908525,-71.08264,42.34982
6914155,-71.0564,42.315
6914622,-71.11794,42.30814
6921672,-71.10777,42.32133
6951829,-71.10173,42.34506
6990904,-71.09977,42.3153
7018497,-71.05704,42.36638
7053454,-71.06324,42.38005
7054912,-71.05904,42.36623
7055184,-71.13263,42.35507
7086825,-71.11682,42.28228
7092144,-71.101,42.31848
7093109,-71.11776,42.27697
7093184,-71.08,42.31676
7161203,-71.08,42.31676
7179321,-71.03703,42.37202
7181950,-71.05202,42.36419
7185881,-71.13291,42.23689
7214920,-71.0695,42.33683
7222349,-71.0558,42.29347
7239024,-71.05575,42.29263
7273770,-71.11516,42.30606
7279874,-71.09199,42.34831
7281884,-71.08316,42.31289
7287822,-71.10846,42.31527
7292184,-71.05566,42.29456
7298966,-71.14416,42.343
7308623,-71.06835,42.36185
7309178,-71.1066,42.3345
7310887,-71.13819,42.34554
7330494,-71.05558,42.33062
7333304,-71.0706,42.38245
7342489,-71.07644,42.34447
7368611,-71.06939,42.34552
7474044,-71.08264,42.34982
7474855,-71.08264,42.34982
7475052,-71.08264,42.34982
7475215,-71.08264,42.34982
7475379,-71.08264,42.34982
7475573,-71.08264,42.34982
7476340,-71.07633,42.34441
7479725,-71.1356,42.36084
7482195,-71.11519,42.28222
7497047,-71.13246,42.23594
7499960,-71.09486,42.35062
7511737,-71.07644,42.34447
7513605,-71.07644,42.34447
7513906,-71.06346,42.36017
7514024,-71.06346,42.36017
7514336,-71.06346,42.36017
7527149,-71.07023,42.35623
7531700,-71.06346,42.36017
7540480,-71.06922,42.3437
7561220,-71.12941,42.35841
7575052,-71.07511,42.34055
7582224,-71.06852,42.3623
7596262,-71.06914,42.36503
7611271,-71.03399,42.33182
7614517,-71.06792,42.36033
7633883,-71.07135,42.35738
7635616,-71.06346,42.36017
7637094,-71.10703,42.34213
7645153,-71.04758,42.34906
7651065,-71.13626,42.28451
7692933,-71.16214,42.35568
7693354,-71.05372,42.31268
7694365,-71.07633,42.34441
7694559,-71.07633,42.34441
7713815,-71.06346,42.36017
7714627,-71.07183,42.34384
7728499,-71.06346,42.36017
7783953,-71.12801,42.35995
7797744,-71.12941,42.35842
7832890,-71.06346,42.36017
