type,measure,year,n
ARMED ROBBERY,violence,2015,430
ARMED ROBBERY,violence,2016,445
ARMED ROBBERY,violence,2017,413
ARMED ROBBERY,violence,2018,307
ASSAULT AND BATTERY,guns,2015,122
ASSAULT AND BATTERY,guns,2016,190
ASSAULT AND BATTERY,guns,2017,162
ASSAULT AND BATTERY,guns,2018,169
ASSAULT AND BATTERY,violence,2015,5770
ASSAULT AND BATTERY,violence,2016,6021
ASSAULT AND BATTERY,violence,2017,5981
ASSAULT AND BATTERY,violence,2018,5784
BREAKING AND ENTERING,private conflict,2015,1856
BREAKING AND ENTERING,private conflict,2016,1849
BREAKING AND ENTERING,private conflict,2017,1988
BREAKING AND ENTERING,private conflict,2018,1640
DISTURBANCE,social disorder,2015,2946
DISTURBANCE,social disorder,2016,2406
DISTURBANCE,social disorder,2017,2604
DISTURBANCE,social disorder,2018,2130
EMOTIONALLY DISTURBED PERSON,violence,2015,3779
EMOTIONALLY DISTURBED PERSON,violence,2016,3683
EMOTIONALLY DISTURBED PERSON,violence,2017,3742
EMOTIONALLY DISTURBED PERSON,violence,2018,3888
FIGHT,violence,2015,7392
FIGHT,violence,2016,6682
FIGHT,violence,2017,5850
FIGHT,violence,2018,5381
FOUND WEAPON,guns,2015,85
FOUND WEAPON,guns,2016,68
FOUND WEAPON,guns,2017,117
FOUND WEAPON,guns,2018,74
INVESTIGATE PERSON,social disorder,2015,1001
INVESTIGATE PERSON,social disorder,2016,1049
INVESTIGATE PERSON,social disorder,2017,1065
INVESTIGATE PERSON,social disorder,2018,982
LANDLORD TENANT ISSUE,private conflict,2015,915
LANDLORD TENANT ISSUE,private conflict,2016,845
LANDLORD TENANT ISSUE,private conflict,2017,780
LANDLORD TENANT ISSUE,private conflict,2018,788
PERSON SHOT   (P) (E),guns,2015,347
PERSON SHOT   (P) (E),guns,2016,326
PERSON SHOT   (P) (E),guns,2017,352
PERSON SHOT   (P) (E),guns,2018,273
PERSON WITH A GUN,guns,2015,1117
PERSON WITH A GUN,guns,2016,1075
PERSON WITH A GUN,guns,2017,1114
PERSON WITH A GUN,guns,2018,952
PERSON WITH A KNIFE,violence,2015,1250
PERSON WITH A KNIFE,violence,2016,1249
PERSON WITH A KNIFE,violence,2017,1186
PERSON WITH A KNIFE,violence,2018,1270
SHOTS FIRED,guns,2015,1475
SHOTS FIRED,guns,2016,1452
SHOTS FIRED,guns,2017,1445
SHOTS FIRED,guns,2018,1117
VANDALISM,private conflict,2015,3851
VANDALISM,private conflict,2016,3629
VANDALISM,private conflict,2017,3247
VANDALISM,private conflict,2018,2953
VANDALISM,social disorder,2015,1096
VANDALISM,social disorder,2016,1252
VANDALISM,social disorder,2017,1207
VANDALISM,social disorder,2018,1056
VIOLATION OF THE RESTRAINING ORDER,private conflict,2015,1441
VIOLATION OF THE RESTRAINING ORDER,private conflict,2016,1484
VIOLATION OF THE RESTRAINING ORDER,private conflict,2017,1395
VIOLATION OF THE RESTRAINING ORDER,private conflict,2018,1211
